address,Name,category,Comments,peripheral
0x4006b018,UART 7816 Control Register (UART1_C7816)8R/W00,CR,,#N/A
0x4006b019,UART 7816 Interrupt Enable Register (UART1_IE7816)8R/W00,CR,,#N/A
0x4006b01a,UART 7816 Interrupt Status Register (UART1_IS7816)8R/W00,SR,,#N/A
0x4006b01b,UART 7816 Wait Parameter Register (UART1_WP7816T0)8R/W0A,CR,,#N/A
0x4006b01b,UART 7816 Wait Parameter Register (UART1_WP7816T1)8R/W0A,CR,,#N/A
0x4006b01c,UART 7816 Wait N Register (UART1_WN7816)8R/W00,CR,,#N/A
0x4006b01d,UART 7816 Wait FD Register (UART1_WF7816)8R/W01,CR,,#N/A
0x4006b01e,UART 7816 Error Threshold Register (UART1_ET7816)8R/W00,CR,,#N/A
0x4006b01f,UART 7816 Transmit Length Register (UART1_TL7816)8R/W00,CR,"hybrid, it is programed with avalue that indicates the number of bytes to transmit and is decremented automatically by hardware",#N/A
0x4006c000,UART Baud Rate Registers: High (UART2_BDH)8R/W00,CR,,UART2
0x4006c001,UART Baud Rate Registers: Low (UART2_BDL)8R/W04,CR,,UART2
0x4006c002,UART Control Register 1 (UART2_C1)8R/W00,CR,,UART2
0x4006c003,UART Control Register 2 (UART2_C2)8R/W00,CR,,UART2
0x4006c004,UART Status Register 1 (UART2_S1)8RC0h52.3.5/1584,SR,,UART2
0x4006c005,UART Status Register 2 (UART2_S2)8R/W00,SR,,UART2
0x4006c006,UART Control Register 3 (UART2_C3)8R/W00,CR,,UART2
0x4006c007,UART Data Register (UART2_D)8R/W00,DR,,UART2
0x4006c008,UART Match Address Registers 1 (UART2_MA1)8R/W00,CR,,UART2
0x4006c009,UART Match Address Registers 2 (UART2_MA2)8R/W00,CR,,UART2
0x4006c00a,UART Control Register 4 (UART2_C4)8R/W00,CR,,UART2
0x4006c00b,UART Control Register 5 (UART2_C5)8R/W00,CR,,UART2
0x4006c00c,UART Extended Data Register (UART2_ED)8R00h52.3.13/1595,DR,,UART2
0x4006c00d,UART Modem Register (UART2_MODEM)8R/W00,,,UART2
0x4006c00e,UART Infrared Register (UART2_IR)8R/W00,CR,,UART2
0x4006c010,UART FIFO Parameters (UART2_PFIFO)8R/WSee sectio,CR,,UART2
0x4006c011,UART FIFO Control Register (UART2_CFIFO)8R/W00,CR,,UART2
0x4006c012,UART FIFO Status Register (UART2_SFIFO)8R/WC0,SR,,UART2
0x4006c013,UART FIFO Transmit Watermark (UART2_TWFIFO)8R/W00,CR,,UART2
0x4006c014,UART FIFO Transmit Count (UART2_TCFIFO)8R00h52.3.20/1602,DR,ONLY FOR DEBUGGING,UART2
0x4006c015,UART FIFO Receive Watermark (UART2_RWFIFO)8R/W01,CR,,UART2
0x4006c016,UART FIFO Receive Count (UART2_RCFIFO)8R00h52.3.22/1603,SR,number of bytes in buffer,UART2
0x4006c018,UART 7816 Control Register (UART2_C7816)8R/W00,CR,,#N/A
0x4006c019,UART 7816 Interrupt Enable Register (UART2_IE7816)8R/W00,CR,,#N/A
0x4006c01a,UART 7816 Interrupt Status Register (UART2_IS7816)8R/W00,SR,,#N/A
0x4006c01b,UART 7816 Wait Parameter Register (UART2_WP7816T0)8R/W0A,CR,,#N/A
0x4006c01b,UART 7816 Wait Parameter Register (UART2_WP7816T1)8R/W0A,CR,,#N/A
0x4006c01c,UART 7816 Wait N Register (UART2_WN7816)8R/W00,CR,,#N/A
0x4006c01d,UART 7816 Wait FD Register (UART2_WF7816)8R/W01,CR,,#N/A
0x4006c01e,UART 7816 Error Threshold Register (UART2_ET7816)8R/W00,CR,,#N/A
0x4006c01f,UART 7816 Transmit Length Register (UART2_TL7816)8R/W00,CR,"hybrid, it is programed with avalue that indicates the number of bytes to transmit and is decremented automatically by hardware",#N/A
0x4006d000,UART Baud Rate Registers: High (UART3_BDH)8R/W00,CR,,UART3
0x4006d001,UART Baud Rate Registers: Low (UART3_BDL)8R/W04,CR,,UART3
0x4006d002,UART Control Register 1 (UART3_C1)8R/W00,CR,,UART3
0x4006d003,UART Control Register 2 (UART3_C2)8R/W00,CR,,UART3
0x4006d004,UART Status Register 1 (UART3_S1)8RC0h52.3.5/1584,SR,,UART3
0x4006d005,UART Status Register 2 (UART3_S2)8R/W00,SR,,UART3
0x4006d006,UART Control Register 3 (UART3_C3)8R/W00,CR,,UART3
0x4006d007,UART Data Register (UART3_D)8R/W00,DR,,UART3
0x4006d008,UART Match Address Registers 1 (UART3_MA1)8R/W00,CR,,UART3
0x4006d009,UART Match Address Registers 2 (UART3_MA2)8R/W00,CR,,UART3
0x4006d00a,UART Control Register 4 (UART3_C4)8R/W00,CR,,UART3
0x4006d00b,UART Control Register 5 (UART3_C5)8R/W00,CR,,UART3
0x4006d00c,UART Extended Data Register (UART3_ED)8R00h52.3.13/1595,DR,,UART3
0x4006d00d,UART Modem Register (UART3_MODEM)8R/W00,,,UART3
0x4006d00e,UART Infrared Register (UART3_IR)8R/W00,CR,,UART3
0x4006d010,UART FIFO Parameters (UART3_PFIFO)8R/WSee sectio,CR,,UART3
0x4006d011,UART FIFO Control Register (UART3_CFIFO)8R/W00,CR,,UART3
0x4006d012,UART FIFO Status Register (UART3_SFIFO)8R/WC0,SR,,UART3
0x4006d013,UART FIFO Transmit Watermark (UART3_TWFIFO)8R/W00,CR,,UART3
0x4006d014,UART FIFO Transmit Count (UART3_TCFIFO)8R00h52.3.20/1602,DR,ONLY FOR DEBUGGING,UART3
0x4006d015,UART FIFO Receive Watermark (UART3_RWFIFO)8R/W01,CR,,UART3
0x4006d016,UART FIFO Receive Count (UART3_RCFIFO)8R00h52.3.22/1603,SR,number of bytes in buffer,UART3
0x4006d018,UART 7816 Control Register (UART3_C7816)8R/W00,CR,,#N/A
0x4006d019,UART 7816 Interrupt Enable Register (UART3_IE7816)8R/W00,CR,,#N/A
0x4006d01a,UART 7816 Interrupt Status Register (UART3_IS7816)8R/W00,SR,,#N/A
0x4006d01b,UART 7816 Wait Parameter Register (UART3_WP7816T0)8R/W0A,CR,,#N/A
0x4006d01b,UART 7816 Wait Parameter Register (UART3_WP7816T1)8R/W0A,CR,,#N/A
0x4006d01c,UART 7816 Wait N Register (UART3_WN7816)8R/W00,CR,,#N/A
0x4006d01d,UART 7816 Wait FD Register (UART3_WF7816)8R/W01,CR,,#N/A
0x4006d01e,UART 7816 Error Threshold Register (UART3_ET7816)8R/W00,CR,,#N/A
0x4006d01f,UART 7816 Transmit Length Register (UART3_TL7816)8R/W00,CR,"hybrid, it is programed with avalue that indicates the number of bytes to transmit and is decremented automatically by hardware",#N/A
0x400ea000,UART Baud Rate Registers: High (UART4_BDH)8R/W00,CR,,UART4
0x400ea001,UART Baud Rate Registers: Low (UART4_BDL)8R/W04,CR,,UART4
0x400ea002,UART Control Register 1 (UART4_C1)8R/W00,CR,,UART4
0x400ea003,UART Control Register 2 (UART4_C2)8R/W00,CR,,UART4
0x400ea004,UART Status Register 1 (UART4_S1)8RC0h52.3.5/1584,SR,,UART4
0x400ea005,UART Status Register 2 (UART4_S2)8R/W00,SR,,UART4
0x400ea006,UART Control Register 3 (UART4_C3)8R/W00,CR,,UART4
0x400ea007,UART Data Register (UART4_D)8R/W00,DR,,UART4
0x400ea008,UART Match Address Registers 1 (UART4_MA1)8R/W00,CR,,UART4
0x400ea009,UART Match Address Registers 2 (UART4_MA2)8R/W00,CR,,UART4
0x400ea00a,UART Control Register 4 (UART4_C4)8R/W00,CR,,UART4
0x400ea00b,UART Control Register 5 (UART4_C5)8R/W00,CR,,UART4
0x400ea00c,UART Extended Data Register (UART4_ED)8R00h52.3.13/1595,DR,,UART4
0x400ea00d,UART Modem Register (UART4_MODEM)8R/W00,,,UART4
0x400ea00e,UART Infrared Register (UART4_IR)8R/W00,CR,,UART4
0x400ea010,UART FIFO Parameters (UART4_PFIFO)8R/WSee sectio,CR,,UART4
0x400ea011,UART FIFO Control Register (UART4_CFIFO)8R/W00,CR,,UART4
0x400ea012,UART FIFO Status Register (UART4_SFIFO)8R/WC0,SR,,UART4
0x400ea013,UART FIFO Transmit Watermark (UART4_TWFIFO)8R/W00,CR,,UART4
0x400ea014,UART FIFO Transmit Count (UART4_TCFIFO)8R00h52.3.20/1602,DR,ONLY FOR DEBUGGING,UART4
0x400ea015,UART FIFO Receive Watermark (UART4_RWFIFO)8R/W01,CR,,UART4
0x400ea016,UART FIFO Receive Count (UART4_RCFIFO)8R00h52.3.22/1603,SR,number of bytes in buffer,UART4
0x400ea018,UART 7816 Control Register (UART4_C7816)8R/W00,CR,,#N/A
0x400ea019,UART 7816 Interrupt Enable Register (UART4_IE7816)8R/W00,CR,,#N/A
0x400ea01a,UART 7816 Interrupt Status Register (UART4_IS7816)8R/W00,SR,,#N/A
0x400ea01b,UART 7816 Wait Parameter Register (UART4_WP7816T0)8R/W0A,CR,,#N/A
0x400ea01b,UART 7816 Wait Parameter Register (UART4_WP7816T1)8R/W0A,CR,,#N/A
0x400ea01c,UART 7816 Wait N Register (UART4_WN7816)8R/W00,CR,,#N/A
0x400ea01d,UART 7816 Wait FD Register (UART4_WF7816)8R/W01,CR,,#N/A
0x400ea01e,UART 7816 Error Threshold Register (UART4_ET7816)8R/W00,CR,,#N/A
0x400ea01f,UART 7816 Transmit Length Register (UART4_TL7816)8R/W00,CR,"hybrid, it is programed with avalue that indicates the number of bytes to transmit and is decremented automatically by hardware",#N/A
0x400eb000,UART Baud Rate Registers: High (UART5_BDH)8R/W00,CR,,UART5
0x400eb001,UART Baud Rate Registers: Low (UART5_BDL)8R/W04,CR,,UART5
0x400eb002,UART Control Register 1 (UART5_C1)8R/W00,CR,,UART5
0x400eb003,UART Control Register 2 (UART5_C2)8R/W00,CR,,UART5
0x400eb004,UART Status Register 1 (UART5_S1)8RC0h52.3.5/1584,SR,,UART5
0x400eb005,UART Status Register 2 (UART5_S2)8R/W00,SR,,UART5
0x400eb006,UART Control Register 3 (UART5_C3)8R/W00,CR,,UART5
0x400eb007,UART Data Register (UART5_D)8R/W00,DR,,UART5
0x400eb008,UART Match Address Registers 1 (UART5_MA1)8R/W00,CR,,UART5
0x400eb009,UART Match Address Registers 2 (UART5_MA2)8R/W00,CR,,UART5
0x400eb00a,UART Control Register 4 (UART5_C4)8R/W00,CR,,UART5
0x400eb00b,UART Control Register 5 (UART5_C5)8R/W00,CR,,UART5
0x400eb00c,UART Extended Data Register (UART5_ED)8R00h52.3.13/1595,DR,,UART5
0x400eb00d,UART Modem Register (UART5_MODEM)8R/W00,,,UART5
0x400eb00e,UART Infrared Register (UART5_IR)8R/W00,CR,,UART5
0x400eb010,UART FIFO Parameters (UART5_PFIFO)8R/WSee sectio,CR,,UART5
0x400eb011,UART FIFO Control Register (UART5_CFIFO)8R/W00,CR,,UART5
0x400eb012,UART FIFO Status Register (UART5_SFIFO)8R/WC0,SR,,UART5
0x400eb013,UART FIFO Transmit Watermark (UART5_TWFIFO)8R/W00,CR,,UART5
0x400eb014,UART FIFO Transmit Count (UART5_TCFIFO)8R00h52.3.20/1602,DR,ONLY FOR DEBUGGING,UART5
0x400eb015,UART FIFO Receive Watermark (UART5_RWFIFO)8R/W01,CR,,UART5
0x400eb016,UART FIFO Receive Count (UART5_RCFIFO)8R00h52.3.22/1603,SR,number of bytes in buffer,UART5
0x400eb018,UART 7816 Control Register (UART5_C7816)8R/W00,CR,,#N/A
0x400eb019,UART 7816 Interrupt Enable Register (UART5_IE7816)8R/W00,CR,,#N/A
0x400eb01a,UART 7816 Interrupt Status Register (UART5_IS7816)8R/W00,SR,,#N/A
0x400eb01b,UART 7816 Wait Parameter Register (UART5_WP7816T0)8R/W0A,CR,,#N/A
0x400eb01b,UART 7816 Wait Parameter Register (UART5_WP7816T1)8R/W0A,CR,,#N/A
0x400eb01c,UART 7816 Wait N Register (UART5_WN7816)8R/W00,CR,,#N/A
0x400eb01d,UART 7816 Wait FD Register (UART5_WF7816)8R/W01,CR,,#N/A
0x400eb01e,UART 7816 Error Threshold Register (UART5_ET7816)8R/W00,CR,,#N/A
0x400eb01f,UART 7816 Transmit Length Register (UART5_TL7816)8R/W00,CR,"hybrid, it is programed with avalue that indicates the number of bytes to transmit and is decremented automatically by hardware",#N/A
0x4002c084,Receive FIFO Registers (SPI0_RXFR2)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x4002c088,Receive FIFO Registers (SPI0_RXFR3)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x4002d000,Module Configuration Register (SPI1_MCR)32R/W0000_4001,CR,,SPI1
0x4002d008,Transfer Count Register (SPI1_TCR)32R/W0000_0000,SR,COUNTS EVENTS OF SPI,SPI1
0x4002d00c,Clock and Transfer Attributes Register (In Master Mode)(SPI1_CTAR0)32R/W7800_0000,CR,,SPI1
0x4002d00c,Clock and Transfer Attributes Register (In Slave Mode)(SPI1_CTAR0_SLAVE)32R/W7800_0000,CR,,SPI1
0x4002d010,Clock and Transfer Attributes Register (In Master Mode)(SPI1_CTAR1)32R/W7800_0000,CR,,#N/A
0x4002d02c,Status Register (SPI1_SR)32R/W0200_0000,SR,,SPI1
0x4002d030,DMA/Interrupt Request Select and Enable Register(SPI1_RSER)32R/W0000_0000,CR,,SPI1
0x4002d034,PUSH TX FIFO Register In Master Mode (SPI1_PUSHR)32R/W0000_0000,DR,,SPI1
0x4002d034,PUSH TX FIFO Register In Slave Mode(SPI1_PUSHR_SLAVE)32R/W0000_0000,DR,,SPI1
0x4002d038,POP RX FIFO Register (SPI1_POPR)32R0000_0000,DR,,SPI1
0x4002d03c,Transmit FIFO Registers (SPI1_TXFR0)32R0000_0000,DR,ONLY FOR DEBUGGING,SPI1
0x4002d040,Transmit FIFO Registers (SPI1_TXFR1)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x4002d044,Transmit FIFO Registers (SPI1_TXFR2)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x4002d048,Transmit FIFO Registers (SPI1_TXFR3)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x4002d07c,Receive FIFO Registers (SPI1_RXFR0)32R0000_0000,DR,ONLY FOR DEBUGGING,SPI1
0x4002d080,Receive FIFO Registers (SPI1_RXFR1)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x4002d084,Receive FIFO Registers (SPI1_RXFR2)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x4002d088,Receive FIFO Registers (SPI1_RXFR3)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x400ac000,Module Configuration Register (SPI2_MCR)32R/W0000_4001,CR,,SPI2
0x400ac008,Transfer Count Register (SPI2_TCR)32R/W0000_0000,SR,COUNTS EVENTS OF SPI,SPI2
0x400ac00c,Clock and Transfer Attributes Register (In Master Mode)(SPI2_CTAR0)32R/W7800_0000,CR,,SPI2
0x400ac00c,Clock and Transfer Attributes Register (In Slave Mode)(SPI2_CTAR0_SLAVE)32R/W7800_0000,CR,,SPI2
0x400ac010,Clock and Transfer Attributes Register (In Master Mode)(SPI2_CTAR1)32R/W7800_0000,CR,,#N/A
0x400ac02c,Status Register (SPI2_SR)32R/W0200_0000,SR,,SPI2
0x400ac030,DMA/Interrupt Request Select and Enable Register(SPI2_RSER)32R/W0000_0000,CR,,SPI2
0x400ac034,PUSH TX FIFO Register In Master Mode (SPI2_PUSHR)32R/W0000_0000,DR,,SPI2
0x400ac034,PUSH TX FIFO Register In Slave Mode(SPI2_PUSHR_SLAVE)32R/W0000_0000,DR,,SPI2
0x400ac038,POP RX FIFO Register (SPI2_POPR)32R0000_0000,DR,,SPI2
0x400ac03c,Transmit FIFO Registers (SPI2_TXFR0)32R0000_0000,DR,ONLY FOR DEBUGGING,SPI2
0x400ac040,Transmit FIFO Registers (SPI2_TXFR1)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x400ac044,Transmit FIFO Registers (SPI2_TXFR2)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x400ac048,Transmit FIFO Registers (SPI2_TXFR3)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x400ac07c,Receive FIFO Registers (SPI2_RXFR0)32R0000_0000,DR,ONLY FOR DEBUGGING,SPI2
0x400ac080,Receive FIFO Registers (SPI2_RXFR1)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x400ac084,Receive FIFO Registers (SPI2_RXFR2)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x400ac088,Receive FIFO Registers (SPI2_RXFR3)32R0000_0000,DR,ONLY FOR DEBUGGING,#N/A
0x40049000,Pin Control Register n (PORTA_PCR0)32R/WSee sectio,CR,,PORTA
0x40049004,Pin Control Register n (PORTA_PCR1)32R/WSee sectio,CR,,PORTA
0x40049008,Pin Control Register n (PORTA_PCR2)32R/WSee sectio,CR,,PORTA
0x4004900c,Pin Control Register n (PORTA_PCR3)32R/WSee sectio,CR,,PORTA
0x40049010,Pin Control Register n (PORTA_PCR4)32R/WSee sectio,CR,,PORTA
0x40049014,Pin Control Register n (PORTA_PCR5)32R/WSee sectio,CR,,PORTA
0x40049018,Pin Control Register n (PORTA_PCR6)32R/WSee sectio,CR,,PORTA
0x4004901c,Pin Control Register n (PORTA_PCR7)32R/WSee sectio,CR,,PORTA
0x40049020,Pin Control Register n (PORTA_PCR8)32R/WSee sectio,CR,,PORTA
0x40049024,Pin Control Register n (PORTA_PCR9)32R/WSee sectio,CR,,PORTA
0x40049028,Pin Control Register n (PORTA_PCR10)32R/WSee sectio,CR,,PORTA
0x4004902c,Pin Control Register n (PORTA_PCR11)32R/WSee sectio,CR,,PORTA
0x40049030,Pin Control Register n (PORTA_PCR12)32R/WSee sectio,CR,,PORTA
0x40049034,Pin Control Register n (PORTA_PCR13)32R/WSee sectio,CR,,PORTA
0x40049038,Pin Control Register n (PORTA_PCR14)32R/WSee sectio,CR,,PORTA
0x4004903c,Pin Control Register n (PORTA_PCR15)32R/WSee sectio,CR,,PORTA
0x40049040,Pin Control Register n (PORTA_PCR16)32R/WSee sectio,CR,,PORTA
0x40049044,Pin Control Register n (PORTA_PCR17)32R/WSee sectio,CR,,PORTA
0x40049048,Pin Control Register n (PORTA_PCR18)32R/WSee sectio,CR,,PORTA
0x4004904c,Pin Control Register n (PORTA_PCR19)32R/WSee sectio,CR,,PORTA
0x40049050,Pin Control Register n (PORTA_PCR20)32R/WSee sectio,CR,,PORTA
0x40049054,Pin Control Register n (PORTA_PCR21)32R/WSee sectio,CR,,PORTA
0x40049058,Pin Control Register n (PORTA_PCR22)32R/WSee sectio,CR,,PORTA
0x4004905c,Pin Control Register n (PORTA_PCR23)32R/WSee sectio,CR,,PORTA
0x40049060,Pin Control Register n (PORTA_PCR24)32R/WSee sectio,CR,,PORTA
0x40049064,Pin Control Register n (PORTA_PCR25)32R/WSee sectio,CR,,PORTA
0x40049068,Pin Control Register n (PORTA_PCR26)32R/WSee sectio,CR,,PORTA
0x4004906c,Pin Control Register n (PORTA_PCR27)32R/WSee sectio,CR,,PORTA
0x40049070,Pin Control Register n (PORTA_PCR28)32R/WSee sectio,CR,,PORTA
0x40049074,Pin Control Register n (PORTA_PCR29)32R/WSee sectio,CR,,PORTA
0x40049078,Pin Control Register n (PORTA_PCR30)32R/WSee sectio,CR,,PORTA
0x4004907c,Pin Control Register n (PORTA_PCR31)32R/WSee sectio,CR,,PORTA
0x40049080,Global Pin Control Low Register (PORTA_GPCLR)32W(alwaysreads 0)0000_0000,CR,,PORTA
0x40049084,Global Pin Control High Register (PORTA_GPCHR)32W(alwaysreads 0)0000_0000,CR,,PORTA
0x400490a0,Interrupt Status Flag Register (PORTA_ISFR)32w1c0000_0000,SR,,PORTA
0x400490c0,Digital Filter Enable Register (PORTA_DFER)32R/W0000_0000,CR,,#N/A
0x400490c4,Digital Filter Clock Register (PORTA_DFCR)32R/W0000_0000,CR,,#N/A
0x400490c8,Digital Filter Width Register (PORTA_DFWR)32R/W0000_0000,CR,,#N/A
0x4004a000,Pin Control Register n (PORTB_PCR0)32R/WSee sectio,CR,,PORTB
0x4004a004,Pin Control Register n (PORTB_PCR1)32R/WSee sectio,CR,,PORTB
0x4004a008,Pin Control Register n (PORTB_PCR2)32R/WSee sectio,CR,,PORTB
0x4004a00c,Pin Control Register n (PORTB_PCR3)32R/WSee sectio,CR,,PORTB
0x4004a010,Pin Control Register n (PORTB_PCR4)32R/WSee sectio,CR,,PORTB
0x4004a014,Pin Control Register n (PORTB_PCR5)32R/WSee sectio,CR,,PORTB
0x4004a018,Pin Control Register n (PORTB_PCR6)32R/WSee sectio,CR,,PORTB
0x4004a01c,Pin Control Register n (PORTB_PCR7)32R/WSee sectio,CR,,PORTB
0x4004a020,Pin Control Register n (PORTB_PCR8)32R/WSee sectio,CR,,PORTB
0x4004a024,Pin Control Register n (PORTB_PCR9)32R/WSee sectio,CR,,PORTB
0x4004a028,Pin Control Register n (PORTB_PCR10)32R/WSee sectio,CR,,PORTB
0x4004a02c,Pin Control Register n (PORTB_PCR11)32R/WSee sectio,CR,,PORTB
0x4004a030,Pin Control Register n (PORTB_PCR12)32R/WSee sectio,CR,,PORTB
0x4004a034,Pin Control Register n (PORTB_PCR13)32R/WSee sectio,CR,,PORTB
0x4004a038,Pin Control Register n (PORTB_PCR14)32R/WSee sectio,CR,,PORTB
0x4004a03c,Pin Control Register n (PORTB_PCR15)32R/WSee sectio,CR,,PORTB
0x4004a040,Pin Control Register n (PORTB_PCR16)32R/WSee sectio,CR,,PORTB
0x4004a044,Pin Control Register n (PORTB_PCR17)32R/WSee sectio,CR,,PORTB
0x4004a048,Pin Control Register n (PORTB_PCR18)32R/WSee sectio,CR,,PORTB
0x4004a04c,Pin Control Register n (PORTB_PCR19)32R/WSee sectio,CR,,PORTB
0x4004a050,Pin Control Register n (PORTB_PCR20)32R/WSee sectio,CR,,PORTB
0x4004a054,Pin Control Register n (PORTB_PCR21)32R/WSee sectio,CR,,PORTB
0x4004a058,Pin Control Register n (PORTB_PCR22)32R/WSee sectio,CR,,PORTB
0x4004a05c,Pin Control Register n (PORTB_PCR23)32R/WSee sectio,CR,,PORTB
0x4004a060,Pin Control Register n (PORTB_PCR24)32R/WSee sectio,CR,,PORTB
0x4004a064,Pin Control Register n (PORTB_PCR25)32R/WSee sectio,CR,,PORTB
0x4004a068,Pin Control Register n (PORTB_PCR26)32R/WSee sectio,CR,,PORTB
0x4004a06c,Pin Control Register n (PORTB_PCR27)32R/WSee sectio,CR,,PORTB
0x4004a070,Pin Control Register n (PORTB_PCR28)32R/WSee sectio,CR,,PORTB
0x4004a074,Pin Control Register n (PORTB_PCR29)32R/WSee sectio,CR,,PORTB
0x4004a078,Pin Control Register n (PORTB_PCR30)32R/WSee sectio,CR,,PORTB
0x4004a07c,Pin Control Register n (PORTB_PCR31)32R/WSee sectio,CR,,PORTB
0x4004a080,Global Pin Control Low Register (PORTB_GPCLR)32W(alwaysreads 0)0000_0000,CR,,PORTB
0x4004a084,Global Pin Control High Register (PORTB_GPCHR)32W(alwaysreads 0)0000_0000,CR,,PORTB
