address,Reg Name,category,Comments,peripheral
0x4002240c,GPIO port pull-up/pull-down register (GPIOx_PUPDR)(x = A..I/J/K) ,CR,,GPIOJ
0x40022410,GPIO port input data register (GPIOx_IDR) (x = A..I/J/K)  ,DR,,GPIOJ
0x40022414,GPIO port output data register (GPIOx_ODR) (x = A..I/J/K)  ,DR,,GPIOJ
0x40022418,GPIO port bit set/reset register (GPIOx_BSRR) (x = A..I/J/K) ,DR,,GPIOJ
0x4002241c,GPIO port configuration lock register (GPIOx_LCKR)(x = A..I/J/K) ,CR,,GPIOJ
0x40022420,GPIO alternate function low register (GPIOx_AFRL) (x = A..I/J/K)  ,CR,,GPIOJ
0x40022424,8.4.10 GPIO alternate function high register (GPIOx_AFRH),CR,,GPIOJ
0x40022000,GPIO port mode register (GPIOx_MODER) (x = A..I/J/K)  ,CR,,GPIOI
0x40022004,GPIO port output type register (GPIOx_OTYPER)(x = A..I/J/K) ,CR,,GPIOI
0x40022008,GPIO port output speed register (GPIOx_OSPEEDR)(x = A..I/J/K) ,CR,,GPIOI
0x4002200c,GPIO port pull-up/pull-down register (GPIOx_PUPDR)(x = A..I/J/K) ,CR,,GPIOI
0x40022010,GPIO port input data register (GPIOx_IDR) (x = A..I/J/K)  ,DR,,GPIOI
0x40022014,GPIO port output data register (GPIOx_ODR) (x = A..I/J/K)  ,DR,,GPIOI
0x40022018,GPIO port bit set/reset register (GPIOx_BSRR) (x = A..I/J/K) ,DR,,GPIOI
0x4002201c,GPIO port configuration lock register (GPIOx_LCKR)(x = A..I/J/K) ,CR,,GPIOI
0x40022020,GPIO alternate function low register (GPIOx_AFRL) (x = A..I/J/K)  ,CR,,GPIOI
0x40022024,8.4.10 GPIO alternate function high register (GPIOx_AFRH),CR,,GPIOI
0x40021c00,GPIO port mode register (GPIOx_MODER) (x = A..I/J/K)  ,CR,,GPIOH
0x40021c04,GPIO port output type register (GPIOx_OTYPER)(x = A..I/J/K) ,CR,,GPIOH
0x40021c08,GPIO port output speed register (GPIOx_OSPEEDR)(x = A..I/J/K) ,CR,,GPIOH
0x40021c0c,GPIO port pull-up/pull-down register (GPIOx_PUPDR)(x = A..I/J/K) ,CR,,GPIOH
0x40021c10,GPIO port input data register (GPIOx_IDR) (x = A..I/J/K)  ,DR,,GPIOH
0x40021c14,GPIO port output data register (GPIOx_ODR) (x = A..I/J/K)  ,DR,,GPIOH
0x40021c18,GPIO port bit set/reset register (GPIOx_BSRR) (x = A..I/J/K) ,DR,,GPIOH
0x40021c1c,GPIO port configuration lock register (GPIOx_LCKR)(x = A..I/J/K) ,CR,,GPIOH
0x40021c20,GPIO alternate function low register (GPIOx_AFRL) (x = A..I/J/K)  ,CR,,GPIOH
0x40021c24,8.4.10 GPIO alternate function high register (GPIOx_AFRH),CR,,GPIOH
0x40021800,GPIO port mode register (GPIOx_MODER) (x = A..I/J/K)  ,CR,,GPIOG
0x40021804,GPIO port output type register (GPIOx_OTYPER)(x = A..I/J/K) ,CR,,GPIOG
0x40021808,GPIO port output speed register (GPIOx_OSPEEDR)(x = A..I/J/K) ,CR,,GPIOG
0x4002180c,GPIO port pull-up/pull-down register (GPIOx_PUPDR)(x = A..I/J/K) ,CR,,GPIOG
0x40021810,GPIO port input data register (GPIOx_IDR) (x = A..I/J/K)  ,DR,,GPIOG
0x40021814,GPIO port output data register (GPIOx_ODR) (x = A..I/J/K)  ,DR,,GPIOG
0x40021818,GPIO port bit set/reset register (GPIOx_BSRR) (x = A..I/J/K) ,DR,,GPIOG
0x4002181c,GPIO port configuration lock register (GPIOx_LCKR)(x = A..I/J/K) ,CR,,GPIOG
0x40021820,GPIO alternate function low register (GPIOx_AFRL) (x = A..I/J/K)  ,CR,,GPIOG
0x40021824,8.4.10 GPIO alternate function high register (GPIOx_AFRH),CR,,GPIOG
0x40021400,GPIO port mode register (GPIOx_MODER) (x = A..I/J/K)  ,CR,,GPIOF
0x40021404,GPIO port output type register (GPIOx_OTYPER)(x = A..I/J/K) ,CR,,GPIOF
0x40021408,GPIO port output speed register (GPIOx_OSPEEDR)(x = A..I/J/K) ,CR,,GPIOF
0x4002140c,GPIO port pull-up/pull-down register (GPIOx_PUPDR)(x = A..I/J/K) ,CR,,GPIOF
0x40021410,GPIO port input data register (GPIOx_IDR) (x = A..I/J/K)  ,DR,,GPIOF
0x40021414,GPIO port output data register (GPIOx_ODR) (x = A..I/J/K)  ,DR,,GPIOF
0x40021418,GPIO port bit set/reset register (GPIOx_BSRR) (x = A..I/J/K) ,DR,,GPIOF
0x4002141c,GPIO port configuration lock register (GPIOx_LCKR)(x = A..I/J/K) ,CR,,GPIOF
0x40021420,GPIO alternate function low register (GPIOx_AFRL) (x = A..I/J/K)  ,CR,,GPIOF
0x40021424,8.4.10 GPIO alternate function high register (GPIOx_AFRH),CR,,GPIOF
0x40021000,GPIO port mode register (GPIOx_MODER) (x = A..I/J/K)  ,CR,,GPIOE
0x40021004,GPIO port output type register (GPIOx_OTYPER)(x = A..I/J/K) ,CR,,GPIOE
0x40021008,GPIO port output speed register (GPIOx_OSPEEDR)(x = A..I/J/K) ,CR,,GPIOE
0x4002100c,GPIO port pull-up/pull-down register (GPIOx_PUPDR)(x = A..I/J/K) ,CR,,GPIOE
0x40021010,GPIO port input data register (GPIOx_IDR) (x = A..I/J/K)  ,DR,,GPIOE
0x40021014,GPIO port output data register (GPIOx_ODR) (x = A..I/J/K)  ,DR,,GPIOE
0x40021018,GPIO port bit set/reset register (GPIOx_BSRR) (x = A..I/J/K) ,DR,,GPIOE
0x4002101c,GPIO port configuration lock register (GPIOx_LCKR)(x = A..I/J/K) ,CR,,GPIOE
0x40021020,GPIO alternate function low register (GPIOx_AFRL) (x = A..I/J/K)  ,CR,,GPIOE
0x40021024,8.4.10 GPIO alternate function high register (GPIOx_AFRH),CR,,GPIOE
0x40020c00,GPIO port mode register (GPIOx_MODER) (x = A..I/J/K)  ,CR,,GPIOD
0x40020c04,GPIO port output type register (GPIOx_OTYPER)(x = A..I/J/K) ,CR,,GPIOD
0x40020c08,GPIO port output speed register (GPIOx_OSPEEDR)(x = A..I/J/K) ,CR,,GPIOD
0x40020c0c,GPIO port pull-up/pull-down register (GPIOx_PUPDR)(x = A..I/J/K) ,CR,,GPIOD
0x40020c10,GPIO port input data register (GPIOx_IDR) (x = A..I/J/K)  ,DR,,GPIOD
0x40020c14,GPIO port output data register (GPIOx_ODR) (x = A..I/J/K)  ,DR,,GPIOD
0x40020c18,GPIO port bit set/reset register (GPIOx_BSRR) (x = A..I/J/K) ,DR,,GPIOD
0x40020c1c,GPIO port configuration lock register (GPIOx_LCKR)(x = A..I/J/K) ,CR,,GPIOD
0x40020c20,GPIO alternate function low register (GPIOx_AFRL) (x = A..I/J/K)  ,CR,,GPIOD
0x40020c24,8.4.10 GPIO alternate function high register (GPIOx_AFRH),CR,,GPIOD
0x40020800,GPIO port mode register (GPIOx_MODER) (x = A..I/J/K)  ,CR,,GPIOC
0x40020804,GPIO port output type register (GPIOx_OTYPER)(x = A..I/J/K) ,CR,,GPIOC
0x40020808,GPIO port output speed register (GPIOx_OSPEEDR)(x = A..I/J/K) ,CR,,GPIOC
0x4002080c,GPIO port pull-up/pull-down register (GPIOx_PUPDR)(x = A..I/J/K) ,CR,,GPIOC
0x40020810,GPIO port input data register (GPIOx_IDR) (x = A..I/J/K)  ,DR,,GPIOC
0x40020814,GPIO port output data register (GPIOx_ODR) (x = A..I/J/K)  ,DR,,GPIOC
0x40020818,GPIO port bit set/reset register (GPIOx_BSRR) (x = A..I/J/K) ,DR,,GPIOC
0x4002081c,GPIO port configuration lock register (GPIOx_LCKR)(x = A..I/J/K) ,CR,,GPIOC
0x40020820,GPIO alternate function low register (GPIOx_AFRL) (x = A..I/J/K)  ,CR,,GPIOC
0x40020824,8.4.10 GPIO alternate function high register (GPIOx_AFRH),CR,,GPIOC
0x40020400,GPIO port mode register (GPIOx_MODER) (x = A..I/J/K)  ,CR,,GPIOB
0x40020404,GPIO port output type register (GPIOx_OTYPER)(x = A..I/J/K) ,CR,,GPIOB
0x40020408,GPIO port output speed register (GPIOx_OSPEEDR)(x = A..I/J/K) ,CR,,GPIOB
0x4002040c,GPIO port pull-up/pull-down register (GPIOx_PUPDR)(x = A..I/J/K) ,CR,,GPIOB
0x40020410,GPIO port input data register (GPIOx_IDR) (x = A..I/J/K)  ,DR,,GPIOB
0x40020414,GPIO port output data register (GPIOx_ODR) (x = A..I/J/K)  ,DR,,GPIOB
0x40020418,GPIO port bit set/reset register (GPIOx_BSRR) (x = A..I/J/K) ,DR,,GPIOB
0x4002041c,GPIO port configuration lock register (GPIOx_LCKR)(x = A..I/J/K) ,CR,,GPIOB
0x40020420,GPIO alternate function low register (GPIOx_AFRL) (x = A..I/J/K)  ,CR,,GPIOB
0x40020424,8.4.10 GPIO alternate function high register (GPIOx_AFRH),CR,,GPIOB
0x40020000,GPIO port mode register (GPIOx_MODER) (x = A..I/J/K)  ,CR,,GPIOA
0x40020004,GPIO port output type register (GPIOx_OTYPER)(x = A..I/J/K) ,CR,,GPIOA
0x40020008,GPIO port output speed register (GPIOx_OSPEEDR)(x = A..I/J/K) ,CR,,GPIOA
0x4002000c,GPIO port pull-up/pull-down register (GPIOx_PUPDR)(x = A..I/J/K) ,CR,,GPIOA
0x40020010,GPIO port input data register (GPIOx_IDR) (x = A..I/J/K)  ,DR,,GPIOA
0x40020014,GPIO port output data register (GPIOx_ODR) (x = A..I/J/K)  ,DR,,GPIOA
0x40020018,GPIO port bit set/reset register (GPIOx_BSRR) (x = A..I/J/K) ,DR,,GPIOA
0x4002001c,GPIO port configuration lock register (GPIOx_LCKR)(x = A..I/J/K) ,CR,,GPIOA
0x40020020,GPIO alternate function low register (GPIOx_AFRL) (x = A..I/J/K)  ,CR,,GPIOA
0x40020024,8.4.10 GPIO alternate function high register (GPIOx_AFRH),CR,,GPIOA
0x40013800,9.2.1SYSCFG memory remap register (SYSCFG_MEMRMP)  ,CR,,SYSCFG
0x40013804,SYSCFG peripheral mode configuration register (SYSCFG_PMC)   . . 290,CR,,SYSCFG
0x40013808,9.2.3(SYSCFG_EXTICR1)   ,CR,,SYSCFG
0x4001380c,SYSCFG external interrupt configuration register 2(SYSCFG_EXTICR2)   ,CR,,SYSCFG
0x40013810,SYSCFG external interrupt configuration register 3(SYSCFG_EXTICR3)   ,CR,,SYSCFG
0x40013814,SYSCFG external interrupt configuration register 4(SYSCFG_EXTICR4)   ,CR,,SYSCFG
0x40013820,9.2.8Compensation cell control register (SYSCFG_CMPCR)  ,CR,,SYSCFG
0x40013000,SPI control register 1 (SPI_CR1) (not used in I2S mode)  ,CR,,SPI1
0x40013004,SPI control register 2 (SPI_CR2) ,CR,,SPI1
0x40013008,SPI status register (SPI_SR)  ,SR,,SPI1
0x4001300c,SPI data register (SPI_DR)  ,DR,,SPI1
0x40013010,SPI CRC polynomial register (SPI_CRCPR) (not used in I2Smode) ,CR,,SPI1
0x40013014,SPI RX CRC register (SPI_RXCRCR) (not used in I2S mode)  ,DR,,SPI1
0x40013018,SPI TX CRC register (SPI_TXCRCR) (not used in I2S mode)   ,DR,,SPI1
0x4001301c,SPI_I2S configuration register (SPI_I2SCFGR) ,CR,,SPI1
0x40013020,SPI_I2S prescaler register (SPI_I2SPR)  ,CR,,SPI1
0x40003800,SPI control register 1 (SPI_CR1) (not used in I2S mode)  ,CR,,SPI2
0x40003804,SPI control register 2 (SPI_CR2) ,CR,,SPI2
0x40003808,SPI status register (SPI_SR)  ,SR,,SPI2
0x4000380c,SPI data register (SPI_DR)  ,DR,,SPI2
0x40003810,SPI CRC polynomial register (SPI_CRCPR) (not used in I2Smode) ,CR,,SPI2
0x40003814,SPI RX CRC register (SPI_RXCRCR) (not used in I2S mode)  ,DR,,SPI2
0x40003818,SPI TX CRC register (SPI_TXCRCR) (not used in I2S mode)   ,DR,,SPI2
0x4000381c,SPI_I2S configuration register (SPI_I2SCFGR) ,CR,,SPI2
0x40003820,SPI_I2S prescaler register (SPI_I2SPR)  ,CR,,SPI2
0x40003c00,SPI control register 1 (SPI_CR1) (not used in I2S mode)  ,CR,,SPI3
0x40003c04,SPI control register 2 (SPI_CR2) ,CR,,SPI3
0x40003c08,SPI status register (SPI_SR)  ,SR,,SPI3
0x40003c0c,SPI data register (SPI_DR)  ,DR,,SPI3
0x40003c10,SPI CRC polynomial register (SPI_CRCPR) (not used in I2Smode) ,CR,,SPI3
0x40003c14,SPI RX CRC register (SPI_RXCRCR) (not used in I2S mode)  ,CR,,SPI3
0x40003c18,SPI TX CRC register (SPI_TXCRCR) (not used in I2S mode)   ,CR,,SPI3
0x40003c1c,SPI_I2S configuration register (SPI_I2SCFGR) ,CR,,SPI3
0x40003c20,SPI_I2S prescaler register (SPI_I2SPR)  ,CR,,SPI3
0x40003400,,,,I2S2ext
0x40003404,,,,I2S2ext
0x40003408,,,,I2S2ext
0x4000340c,,,,I2S2ext
0x40003410,,,,I2S2ext
0x40003414,,,,I2S2ext
0x40003418,,,,I2S2ext
0x4000341c,,,,I2S2ext
0x40003420,,,,I2S2ext
0x40004000,,,,I2S3ext
0x40004004,,,,I2S3ext
0x40004008,,,,I2S3ext
0x4000400c,,,,I2S3ext
0x40004010,,,,I2S3ext
0x40004014,,,,I2S3ext
0x40004018,,,,I2S3ext
0x4000401c,,,,I2S3ext
0x40004020,,,,I2S3ext
0x40013400,SPI control register 1 (SPI_CR1) (not used in I2S mode)  ,CR,,SPI4
0x40013404,SPI control register 2 (SPI_CR2) ,CR,,SPI4
0x40013408,SPI status register (SPI_SR)  ,SR,,SPI4
0x4001340c,SPI data register (SPI_DR)  ,DR,,SPI4
0x40013410,SPI CRC polynomial register (SPI_CRCPR) (not used in I2Smode) ,CR,,SPI4
0x40013414,SPI RX CRC register (SPI_RXCRCR) (not used in I2S mode)  ,DR,,SPI4
0x40013418,SPI TX CRC register (SPI_TXCRCR) (not used in I2S mode)   ,DR,,SPI4
0x4001341c,SPI_I2S configuration register (SPI_I2SCFGR) ,CR,,SPI4
0x40013420,SPI_I2S prescaler register (SPI_I2SPR)  ,CR,,SPI4
0x40015000,SPI control register 1 (SPI_CR1) (not used in I2S mode)  ,CR,,SPI5
0x40015004,SPI control register 2 (SPI_CR2) ,CR,,SPI5
0x40015008,SPI status register (SPI_SR)  ,SR,,SPI5
0x4001500c,SPI data register (SPI_DR)  ,DR,,SPI5
0x40015010,SPI CRC polynomial register (SPI_CRCPR) (not used in I2Smode) ,CR,,SPI5
0x40015014,SPI RX CRC register (SPI_RXCRCR) (not used in I2S mode)  ,DR,,SPI5
0x40015018,SPI TX CRC register (SPI_TXCRCR) (not used in I2S mode)   ,DR,,SPI5
0x4001501c,SPI_I2S configuration register (SPI_I2SCFGR) ,CR,,SPI5
0x40015020,SPI_I2S prescaler register (SPI_I2SPR)  ,CR,,SPI5
