adress,name,category,Comments,peripheral
0x40002818,RTC counter register (RTC_CNTH / RTC_CNTL)  ,DR,,RTC
0x4000281c,RTC counter register (RTC_CNTH / RTC_CNTL)  ,DR,,RTC
0x40002820,RTC alarm register high (RTC_ALRH / RTC_ALRL)  ,CR,,RTC
0x40002824,RTC alarm register high (RTC_ALRH / RTC_ALRL)  ,CR,,RTC
0x40006c04,,,,BKP
0x40006c08,,,,BKP
0x40006c0c,,,,BKP
0x40006c10,,,,BKP
0x40006c14,,,,BKP
0x40006c18,,,,BKP
0x40006c1c,,,,BKP
0x40006c20,,,,BKP
0x40006c24,,,,BKP
0x40006c28,,,,BKP
0x40006c40,,,,BKP
0x40006c44,,,,BKP
0x40006c48,,,,BKP
0x40006c4c,,,,BKP
0x40006c50,,,,BKP
0x40006c54,,,,BKP
0x40006c58,,,,BKP
0x40006c5c,,,,BKP
0x40006c60,,,,BKP
0x40006c64,,,,BKP
0x40006c68,,,,BKP
0x40006c6c,,,,BKP
0x40006c70,,,,BKP
0x40006c74,,,,BKP
0x40006c78,,,,BKP
0x40006c7c,,,,BKP
0x40006c80,,,,BKP
0x40006c84,,,,BKP
0x40006c88,,,,BKP
0x40006c8c,,,,BKP
0x40006c90,,,,BKP
0x40006c94,,,,BKP
0x40006c98,,,,BKP
0x40006c9c,,,,BKP
0x40006ca0,,,,BKP
0x40006ca4,,,,BKP
0x40006ca8,,,,BKP
0x40006cac,,,,BKP
0x40006cb0,,,,BKP
0x40006cb4,,,,BKP
0x40006cb8,,,,BKP
0x40006cbc,,,,BKP
0x40006c2c,6.4.1RTC clock calibration register (BKP_RTCCR)  ,CR,,BKP
0x40006c30,6.4.3Backup control register (BKP_CR)   ,CR,,BKP
0x40006c34,Backup control/status register (BKP_CSR)  ,SR,,BKP
0x40003000,Key register (IWDG_KR)  ,CR,,IWDG
0x40003004,19.4.1Prescaler register (IWDG_PR)   ,CR,,IWDG
0x40003008,19.4.3Reload register (IWDG_RLR)   ,CR,,IWDG
0x4000300c,Status register (IWDG_SR)  ,SR,,IWDG
0x40002c00,Control register (WWDG_CR)  ,CR,,WWDG
0x40002c04,20.6.1Configuration register (WWDG_CFR)  ,CR,,WWDG
0x40002c08,Status register (WWDG_SR)  ,SR,,WWDG
0x40012c00,TIM1 and TIM8 control register 1 (TIMx_CR1)   ,CR,,TIM1
0x40012c04,TIM1 and TIM8 control register 2 (TIMx_CR2)   ,CR,,TIM1
0x40012c08,TIM1 and TIM8 slave mode control register (TIMx_SMCR)   ,CR,,TIM1
0x40012c0c,TIM1 and TIM8 DMA/interrupt enable register (TIMx_DIER)   ,CR,,TIM1
0x40012c10,TIM1 and TIM8 status register (TIMx_SR)   ,SR,,TIM1
0x40012c14,TIM1 and TIM8 event generation register (TIMx_EGR) ,CR,,TIM1
0x40012c18,TIM1 and TIM8 capture/compare mode register 1 (TIMx_CCMR1),CR,,TIM1
0x40012c1c,TIM1 and TIM8 capture/compare mode register 2 (TIMx_CCMR2),CR,,TIM1
0x40012c20,14.4.9TIM1 and TIM8 capture/compare enable register (TIMx_CCER),CR,,TIM1
0x40012c24,14.4.10 TIM1 and TIM8 counter (TIMx_CNT) ,DR,,TIM1
0x40012c28,14.4.11 TIM1 and TIM8 prescaler (TIMx_PSC)  ,CR,,TIM1
0x40012c2c,14.4.12 TIM1 and TIM8 auto-reload register (TIMx_ARR)  ,CR,,TIM1
0x40012c34,14.4.14 TIM1 and TIM8 capture/compare register 1 (TIMx_CCR1)  ,DR,,TIM1
0x40012c38,14.4.15 TIM1 and TIM8 capture/compare register 2 (TIMx_CCR2)  ,DR,,TIM1
0x40012c3c,14.4.16 TIM1 and TIM8 capture/compare register 3 (TIMx_CCR3)  ,DR,,TIM1
0x40012c40,14.4.17 TIM1 and TIM8 capture/compare register 4 (TIMx_CCR4)  ,DR,,TIM1
0x40012c48,14.4.19 TIM1 and TIM8 DMA control register (TIMx_DCR)  ,CR,,TIM1
0x40012c4c,14.4.20 TIM1 and TIM8 DMA address for full transfer (TIMx_DMAR)   ,CR,,TIM1
0x40012c30,14.4.13 TIM1 and TIM8 repetition counter register (TIMx_RCR)  ,CR,,TIM1
0x40012c44,14.4.18 TIM1 and TIM8 break and dead-time register (TIMx_BDTR)   ,CR,,TIM1
0x40013400,14.4.1TIM1 and TIM8 control register 1 (TIMx_CR1)   ,CR,,TIM8
0x40013404,TIM1 and TIM8 control register 2 (TIMx_CR2)   ,CR,,TIM8
0x40013408,14.4.2TIM1 and TIM8 slave mode control register (TIMx_SMCR)   ,CR,,TIM8
0x4001340c,14.4.4TIM1 and TIM8 DMA/interrupt enable register (TIMx_DIER)   ,CR,,TIM8
0x40013410,TIM1 and TIM8 status register (TIMx_SR)   ,SR,,TIM8
0x40013414,14.4.5TIM1 and TIM8 event generation register (TIMx_EGR) ,CR,,TIM8
0x40013418,,,,TIM8
0x40013418,,,,TIM8
0x4001341c,,,,TIM8
0x4001341c,,,,TIM8
0x40013420,14.4.9TIM1 and TIM8 capture/compare enable register (TIMx_CCER)   ,CR,,TIM8
0x40013424,14.4.10 TIM1 and TIM8 counter (TIMx_CNT) ,DR,,TIM8
0x40013428,14.4.11 TIM1 and TIM8 prescaler (TIMx_PSC)  ,CR,,TIM8
0x4001342c,14.4.12 TIM1 and TIM8 auto-reload register (TIMx_ARR)  ,CR,,TIM8
0x40013434,14.4.14 TIM1 and TIM8 capture/compare register 1 (TIMx_CCR1)  ,DR,,TIM8
0x40013438,14.4.15 TIM1 and TIM8 capture/compare register 2 (TIMx_CCR2)  ,DR,,TIM8
0x4001343c,14.4.16 TIM1 and TIM8 capture/compare register 3 (TIMx_CCR3)  ,DR,,TIM8
0x40013440,14.4.17 TIM1 and TIM8 capture/compare register 4 (TIMx_CCR4)  ,DR,,TIM8
0x40013448,14.4.19 TIM1 and TIM8 DMA control register (TIMx_DCR)  ,CR,,TIM8
0x4001344c,14.4.20 TIM1 and TIM8 DMA address for full transfer (TIMx_DMAR)   ,CR,,TIM8
0x40013430,14.4.13 TIM1 and TIM8 repetition counter register (TIMx_RCR)  ,CR,,TIM8
0x40013444,14.4.18 TIM1 and TIM8 break and dead-time register (TIMx_BDTR)   ,CR,,TIM8
0x40000000,14.4.1TIM1 and TIM8 control register 1 (TIMx_CR1)   ,CR,,TIM2
0x40000004,TIM1 and TIM8 control register 2 (TIMx_CR2)   ,CR,,TIM2
0x40000008,14.4.2TIM1 and TIM8 slave mode control register (TIMx_SMCR)   ,CR,,TIM2
0x4000000c,14.4.4TIM1 and TIM8 DMA/interrupt enable register (TIMx_DIER)   ,CR,,TIM2
0x40000010,TIM1 and TIM8 status register (TIMx_SR)   ,SR,,TIM2
0x40000014,14.4.5TIM1 and TIM8 event generation register (TIMx_EGR) ,CR,,TIM2
0x40000018,TIMx capture/compare mode register 1 (TIMx_CCMR1),CR,,TIM2
0x4000001c,capture/compare mode (TIMx_CCMR2),CR,,TIM2
0x40000020,14.4.9TIM1 and TIM8 capture/compare enable register (TIMx_CCER)   ,CR,,TIM2
0x40000024,14.4.10 TIM1 and TIM8 counter (TIMx_CNT) ,DR,,TIM2
0x40000028,14.4.11 TIM1 and TIM8 prescaler (TIMx_PSC)  ,CR,,TIM2
0x4000002c,14.4.12 TIM1 and TIM8 auto-reload register (TIMx_ARR)  ,CR,,TIM2
0x40000034,14.4.14 TIM1 and TIM8 capture/compare register 1 (TIMx_CCR1)  ,DR,,TIM2
0x40000038,14.4.15 TIM1 and TIM8 capture/compare register 2 (TIMx_CCR2)  ,DR,,TIM2
0x4000003c,14.4.16 TIM1 and TIM8 capture/compare register 3 (TIMx_CCR3)  ,DR,,TIM2
0x40000040,14.4.17 TIM1 and TIM8 capture/compare register 4 (TIMx_CCR4)  ,DR,,TIM2
0x40000048,14.4.19 TIM1 and TIM8 DMA control register (TIMx_DCR)  ,CR,,TIM2
0x4000004c,14.4.20 TIM1 and TIM8 DMA address for full transfer (TIMx_DMAR)   ,CR,,TIM2
0x40000400,14.4.1TIM1 and TIM8 control register 1 (TIMx_CR1)   ,CR,,TIM3
0x40000404,TIM1 and TIM8 control register 2 (TIMx_CR2)   ,CR,,TIM3
0x40000408,14.4.2TIM1 and TIM8 slave mode control register (TIMx_SMCR)   ,CR,,TIM3
0x4000040c,14.4.4TIM1 and TIM8 DMA/interrupt enable register (TIMx_DIER)   ,CR,,TIM3
0x40000410,TIM1 and TIM8 status register (TIMx_SR)   ,SR,,TIM3
0x40000414,14.4.5TIM1 and TIM8 event generation register (TIMx_EGR) ,CR,,TIM3
0x40000418,TIMx capture/compare mode register 1 (TIMx_CCMR1),CR,,TIM3
0x4000041c,TIMx capture/compare mode register 2 (TIMx_CCMR2),CR,,TIM3
0x40000420,14.4.9TIM1 and TIM8 capture/compare enable register (TIMx_CCER)   ,CR,,TIM3
0x40000424,14.4.10 TIM1 and TIM8 counter (TIMx_CNT) ,DR,,TIM3
0x40000428,14.4.11 TIM1 and TIM8 prescaler (TIMx_PSC)  ,CR,,TIM3
0x4000042c,14.4.12 TIM1 and TIM8 auto-reload register (TIMx_ARR)  ,CR,,TIM3
0x40000434,14.4.14 TIM1 and TIM8 capture/compare register 1 (TIMx_CCR1)  ,DR,,TIM3
0x40000438,14.4.15 TIM1 and TIM8 capture/compare register 2 (TIMx_CCR2)  ,DR,,TIM3
0x4000043c,14.4.16 TIM1 and TIM8 capture/compare register 3 (TIMx_CCR3)  ,DR,,TIM3
0x40000440,14.4.17 TIM1 and TIM8 capture/compare register 4 (TIMx_CCR4)  ,DR,,TIM3
0x40000448,14.4.19 TIM1 and TIM8 DMA control register (TIMx_DCR)  ,CR,,TIM3
0x4000044c,14.4.20 TIM1 and TIM8 DMA address for full transfer (TIMx_DMAR)   ,CR,,TIM3
0x40000800,14.4.1TIM1 and TIM8 control register 1 (TIMx_CR1)   ,CR,,TIM4
0x40000804,TIM1 and TIM8 control register 2 (TIMx_CR2)   ,CR,,TIM4
0x40000808,14.4.2TIM1 and TIM8 slave mode control register (TIMx_SMCR)   ,CR,,TIM4
0x4000080c,14.4.4TIM1 and TIM8 DMA/interrupt enable register (TIMx_DIER)   ,CR,,TIM4
0x40000810,TIM1 and TIM8 status register (TIMx_SR)   ,SR,,TIM4
0x40000814,14.4.5TIM1 and TIM8 event generation register (TIMx_EGR) ,CR,,TIM4
0x40000818,TIMx capture/compare mode register 1 (TIMx_CCMR1),CR,,TIM4
0x4000081c,TIMx capture/compare mode register 2 (TIMx_CCMR2),CR,,TIM4
0x40000820,14.4.9TIM1 and TIM8 capture/compare enable register (TIMx_CCER)   ,CR,,TIM4
0x40000824,14.4.10 TIM1 and TIM8 counter (TIMx_CNT) ,DR,,TIM4
0x40000828,14.4.11 TIM1 and TIM8 prescaler (TIMx_PSC)  ,CR,,TIM4
0x4000082c,14.4.12 TIM1 and TIM8 auto-reload register (TIMx_ARR)  ,CR,,TIM4
0x40000834,14.4.14 TIM1 and TIM8 capture/compare register 1 (TIMx_CCR1)  ,DR,,TIM4
0x40000838,14.4.15 TIM1 and TIM8 capture/compare register 2 (TIMx_CCR2)  ,DR,,TIM4
0x4000083c,14.4.16 TIM1 and TIM8 capture/compare register 3 (TIMx_CCR3)  ,DR,,TIM4
0x40000840,14.4.17 TIM1 and TIM8 capture/compare register 4 (TIMx_CCR4)  ,DR,,TIM4
0x40000848,14.4.19 TIM1 and TIM8 DMA control register (TIMx_DCR)  ,CR,,TIM4
0x4000084c,14.4.20 TIM1 and TIM8 DMA address for full transfer (TIMx_DMAR)   ,CR,,TIM4
0x40000c00,14.4.1TIM1 and TIM8 control register 1 (TIMx_CR1)   ,CR,,TIM5
0x40000c04,TIM1 and TIM8 control register 2 (TIMx_CR2)   ,CR,,TIM5
0x40000c08,14.4.2TIM1 and TIM8 slave mode control register (TIMx_SMCR)   ,CR,,TIM5
0x40000c0c,14.4.4TIM1 and TIM8 DMA/interrupt enable register (TIMx_DIER)   ,CR,,TIM5
0x40000c10,TIM1 and TIM8 status register (TIMx_SR)   ,SR,,TIM5
0x40000c14,14.4.5TIM1 and TIM8 event generation register (TIMx_EGR) ,CR,,TIM5
0x40000c18,,,,TIM5
0x40000c18,,,,TIM5
0x40000c1c,,,,TIM5
0x40000c1c,,,,TIM5
0x40000c20,14.4.9TIM1 and TIM8 capture/compare enable register (TIMx_CCER)   ,CR,,TIM5
0x40000c24,14.4.10 TIM1 and TIM8 counter (TIMx_CNT) ,DR,,TIM5
0x40000c28,14.4.11 TIM1 and TIM8 prescaler (TIMx_PSC)  ,CR,,TIM5
0x40000c2c,14.4.12 TIM1 and TIM8 auto-reload register (TIMx_ARR)  ,CR,,TIM5
0x40000c34,14.4.14 TIM1 and TIM8 capture/compare register 1 (TIMx_CCR1)  ,DR,,TIM5
0x40000c38,14.4.15 TIM1 and TIM8 capture/compare register 2 (TIMx_CCR2)  ,DR,,TIM5
0x40000c3c,14.4.16 TIM1 and TIM8 capture/compare register 3 (TIMx_CCR3)  ,DR,,TIM5
0x40000c40,14.4.17 TIM1 and TIM8 capture/compare register 4 (TIMx_CCR4)  ,DR,,TIM5
0x40000c48,14.4.19 TIM1 and TIM8 DMA control register (TIMx_DCR)  ,CR,,TIM5
0x40000c4c,14.4.20 TIM1 and TIM8 DMA address for full transfer (TIMx_DMAR)   ,CR,,TIM5
0x40014c00,14.4.1TIM1 and TIM8 control register 1 (TIMx_CR1)   ,CR,,TIM9
0x40014c04,TIM1 and TIM8 control register 2 (TIMx_CR2)   ,CR,,TIM9
0x40014c08,14.4.2TIM1 and TIM8 slave mode control register (TIMx_SMCR)   ,CR,,TIM9
0x40014c0c,14.4.4TIM1 and TIM8 DMA/interrupt enable register (TIMx_DIER)   ,CR,,TIM9
0x40014c10,TIM1 and TIM8 status register (TIMx_SR)   ,SR,,TIM9
0x40014c14,14.4.5TIM1 and TIM8 event generation register (TIMx_EGR) ,CR,,TIM9
0x40014c18,,,,TIM9
0x40014c18,,,,TIM9
0x40014c20,14.4.9TIM1 and TIM8 capture/compare enable register (TIMx_CCER)   ,CR,,TIM9
0x40014c24,14.4.10 TIM1 and TIM8 counter (TIMx_CNT) ,DR,,TIM9
0x40014c28,14.4.11 TIM1 and TIM8 prescaler (TIMx_PSC)  ,CR,,TIM9
0x40014c2c,14.4.12 TIM1 and TIM8 auto-reload register (TIMx_ARR)  ,CR,,TIM9
0x40014c34,14.4.14 TIM1 and TIM8 capture/compare register 1 (TIMx_CCR1)  ,DR,,TIM9
0x40014c38,14.4.15 TIM1 and TIM8 capture/compare register 2 (TIMx_CCR2)  ,DR,,TIM9
0x40001800,,,,TIM12
0x40001804,,,,TIM12
0x40001808,,,,TIM12
0x4000180c,,,,TIM12
0x40001810,,,,TIM12
0x40001814,,,,TIM12
0x40001818,,,,TIM12
0x40001818,,,,TIM12
0x40001820,,,,TIM12
0x40001824,,,,TIM12
0x40001828,,,,TIM12
0x4000182c,,,,TIM12
0x40001834,,,,TIM12
0x40001838,,,,TIM12
0x40015000,,,,TIM10
0x40015004,,,,TIM10
0x4001500c,,,,TIM10
0x40015010,,,,TIM10
0x40015014,,,,TIM10
0x40015018,,,,TIM10
0x40015018,,,,TIM10
0x40015020,,,,TIM10
0x40015024,,,,TIM10
0x40015028,,,,TIM10
0x4001502c,,,,TIM10
0x40015034,,,,TIM10
0x40015400,,,,TIM11
0x40015404,,,,TIM11
0x4001540c,,,,TIM11
0x40015410,,,,TIM11
0x40015414,,,,TIM11
0x40015418,,,,TIM11
0x40015418,,,,TIM11
0x40015420,,,,TIM11
0x40015424,,,,TIM11
0x40015428,,,,TIM11
0x4001542c,,,,TIM11
0x40015434,,,,TIM11
0x40001c00,,,,TIM13
0x40001c04,,,,TIM13
0x40001c0c,,,,TIM13
0x40001c10,,,,TIM13
0x40001c14,,,,TIM13
0x40001c18,,,,TIM13
0x40001c18,,,,TIM13
0x40001c20,,,,TIM13
0x40001c24,,,,TIM13
0x40001c28,,,,TIM13
0x40001c2c,,,,TIM13
0x40001c34,,,,TIM13
0x40002000,,,,TIM14
0x40002004,,,,TIM14
0x4000200c,,,,TIM14
0x40002010,,,,TIM14
0x40002014,,,,TIM14
0x40002018,,,,TIM14
0x40002018,,,,TIM14
